userId,title,rating
1,Dangerous Minds,2.5
7,Dangerous Minds,3.0
31,Dangerous Minds,4.0
32,Dangerous Minds,4.0
36,Dangerous Minds,3.0
39,Dangerous Minds,3.0
73,Dangerous Minds,3.5
88,Dangerous Minds,3.0
96,Dangerous Minds,2.5
110,Dangerous Minds,4.0
111,Dangerous Minds,3.5
150,Dangerous Minds,2.5
161,Dangerous Minds,3.0
165,Dangerous Minds,3.5
186,Dangerous Minds,3.0
242,Dangerous Minds,4.0
254,Dangerous Minds,3.0
288,Dangerous Minds,3.0
310,Dangerous Minds,1.5
311,Dangerous Minds,3.0
325,Dangerous Minds,4.5
338,Dangerous Minds,3.0
341,Dangerous Minds,4.5
386,Dangerous Minds,2.0
394,Dangerous Minds,2.0
452,Dangerous Minds,2.5
457,Dangerous Minds,1.5
461,Dangerous Minds,2.0
468,Dangerous Minds,1.5
485,Dangerous Minds,4.0
487,Dangerous Minds,5.0
496,Dangerous Minds,4.0
511,Dangerous Minds,4.0
516,Dangerous Minds,4.0
525,Dangerous Minds,4.0
590,Dangerous Minds,3.0
596,Dangerous Minds,3.0
601,Dangerous Minds,3.0
607,Dangerous Minds,3.5
619,Dangerous Minds,3.0
639,Dangerous Minds,3.0
641,Dangerous Minds,4.0
1,Dumbo,3.0
19,Dumbo,5.0
35,Dumbo,1.5
61,Dumbo,2.5
73,Dumbo,3.0
99,Dumbo,3.0
102,Dumbo,5.0
128,Dumbo,4.0
175,Dumbo,4.0
185,Dumbo,3.0
188,Dumbo,5.0
213,Dumbo,1.5
214,Dumbo,3.0
268,Dumbo,4.0
294,Dumbo,3.0
303,Dumbo,3.5
311,Dumbo,3.0
363,Dumbo,4.0
387,Dumbo,5.0
420,Dumbo,3.0
442,Dumbo,4.0
452,Dumbo,4.0
466,Dumbo,5.0
468,Dumbo,3.5
471,Dumbo,3.5
472,Dumbo,4.0
514,Dumbo,3.0
518,Dumbo,4.0
529,Dumbo,3.0
530,Dumbo,4.0
547,Dumbo,5.0
551,Dumbo,4.0
564,Dumbo,5.0
575,Dumbo,4.0
577,Dumbo,4.5
582,Dumbo,4.0
602,Dumbo,3.0
603,Dumbo,4.0
605,Dumbo,4.0
607,Dumbo,3.0
646,Dumbo,4.0
665,Dumbo,4.0
1,Sleepers,3.0
19,Sleepers,3.0
23,Sleepers,3.5
30,Sleepers,3.0
70,Sleepers,5.0
73,Sleepers,4.0
90,Sleepers,4.0
102,Sleepers,2.0
105,Sleepers,4.0
119,Sleepers,4.0
141,Sleepers,3.0
150,Sleepers,3.0
165,Sleepers,2.5
212,Sleepers,4.0
233,Sleepers,3.0
252,Sleepers,3.0
292,Sleepers,4.0
306,Sleepers,3.0
318,Sleepers,3.0
325,Sleepers,3.5
380,Sleepers,4.0
452,Sleepers,3.0
461,Sleepers,4.0
507,Sleepers,2.0
509,Sleepers,4.0
518,Sleepers,5.0
534,Sleepers,4.0
537,Sleepers,5.0
584,Sleepers,4.5
608,Sleepers,3.0
641,Sleepers,4.0
647,Sleepers,4.0
